coffee_title,roaster,coffee_origin,coffee_region,variety,roast_level,flavor
Peru La Familia Guzman,Dillanos Coffee Roasters,Peru,not disclosed,"Caturra, Typica and Catuai",Medium-dark,chocolate    nutty    rich
Ethiopia Meaza,Coava Coffee Roasters,Ethiopia,not disclosed,Ethiopian heirloom,Medium-light,citrus    honeydew    floral
Equator Blend,Equator Coffees & Tea,"Colombia, Sumatra, Kenya",not disclosed,not disclosed,Medium-dark,chocolate    baking spice    balanced
Nicaragua,Dillanos Coffee Roasters,Nicaragua,not disclosed,not disclosed,Medium-dark,nutty    herbal    balanced
Swiss Water Decaf,Dillanos Coffee Roasters,not disclosed,not disclosed,not disclosed,Very Dark,caramel    woody    full bodied
Bravissimo Blend,Parisi Artisan Coffee,not disclosed,not disclosed,various,Medium,chocolate    fruity    complex
Guatemala Finca Nueva Granada,Steadfast Coffee Roasters,Guatemala,not disclosed,Bourbon,Medium,milk chocolate    grape    balanced
Honduras Betty Perez ,Brandywine Coffee Roasters,Honduras,not disclosed,"Catuaí, Icatú",Medium-light,peach    orange    vibrant
Suyusama Program,Bird Rock Coffee Roasters,Colombia,not disclosed,"Colombia, Caturra, Castillo",Light,peach    plum    vibrant
Colombia Silvia Indigenous Regional,Cartel Roasting Co.,Colombia,not disclosed,Castillo,Light,apricot    clove    delicate
Italiano,Parisi Coffee Roasters,Central and South America,not disclosed,not disclosed,Medium-dark,chocolate    molasses    rich
Ethiopia Masha Natural,Barefoot Coffee Roasters,Ethiopia,not disclosed,not disclosed,Medium-light,strawberry    tropical fruit    juicy
Decaf Monk,1000 Faces Coffee Roasters,Colombia,not disclosed,"Caturra, Castillo, Colombia",Medium,chocolate    hazelnut    balanced
Mokha Java,Goshen Coffee Company,Various,not disclosed,Various,Medium,red fruits    herbal    creamy
Guatemala Cachito,Goshen Coffee Company,Guatemala,not disclosed,"Typica, Caturra",Medium-light,clementine    raw sugar    juicy
Give Back Blend,Cartel Roasting Co.,"Guatemala, Ethiopia",not disclosed,"Catuaí, Ethiopian heirloom, Caturra",Light,orange    molasses    vibrant
Costa Rica Don Roberto,Dawson Taylor Coffee Roasters,Costa Rica,not disclosed,"Caturra, Catuaí",Medium,citrus    milk chocolate    balanced
El Salvador Finca El Manzano,Dillanos Coffee Roasters,El Salvador,not disclosed,Bourbon,Medium,nutty    chocolate    balanced
Organic Swiss Water Decaf,Bixby Roasting Co.,"Mexico, Sumatra",not disclosed,"Typica, Catimor, Caturra, Bourbon, Catuaí",Very Dark,molasses    clove    rich
Songbird Blend Fair Trade & Organic,Tony's Coffee,"Central and South America, Indonesia",not disclosed,not disclosed,Medium-dark,chocolate    caramel    full bodied
Decaf Mountain Water Brasil,Panther Coffee,Brasil,not disclosed,Red Catuai,Medium,chocolate    caramel    balanced
Decaf Hidden City ,Zoka Coffee Roasting Co,Central and South America,not disclosed,not disclosed,Very Dark,smoky    caramel    bold
Funky Mamacita,Higher Grounds Coffee,"Bolivia, Peru",not disclosed,not disclosed,Medium,earthy    nutty    bold
Nicaragua Jinotega,Parisi Coffee Roasters,Nicaragua,not disclosed,"Bourbon, Caturra, Catucaí, Catimor",Medium-dark,chocolate    almond    full bodied
Espresso Parisi Blend,Parisi Artisan Coffee,not disclosed,not disclosed,not disclosed,Medium,chocolate    nutty    balanced
Tanzania,Dillanos Coffee Roasters,Tanzania,not disclosed,Bourbon,Very Dark,smoky    sweet    full bodied
Decaf Espresso,Klatch Coffee,"Brazil, Colombia, El Salvador, Guatemala, Sumatra",not disclosed,not disclosed,Very Dark,chocolate    dried fruit    rich
Swiss Water Decaf Espresso Primo,Dawson Taylor Coffee Roasters,"Brazil, Colombia, Sumatra",not disclosed,"Caturra, Bourbon, Typica, Catimor",Very Dark,chocolate    vanilla    balanced
Organic French Roast,Dawson Taylor Coffee Roasters,Peru,not disclosed,"Caturra, Catimor, Typica, Bourbon",Very Dark,dark chocolate    smoky    full bodied
Sumatra Highlands Fair Trade Organic,Colectivo,Sumatra,not disclosed,"Bourbon, Caturra, Typica, Catimor, S795",Medium,earthy    herbal    complex
Ethiopia Guji,Mela Coffee Roasting Company,Ethiopia,not disclosed,Typica,Medium-light,blueberry    floral    syrupy
Organic Decaf Mexico,Spyhouse Coffee Roasters,Mexico,not disclosed,"Caturra, Bourbon, Mundo Novo, Typica",Medium,cocoa    hazelnut    balanced
Brazil Fazenda Primavera,Anodyne Coffee Roasters,Brazil,not disclosed,Yellow Catuaí,Medium,chocolate    nutty    balanced
El Salvador Santa Ana,Topeca Coffee Roasters,El Salvador,not disclosed,Bourbon and Pacamara,Light,caramel    floral    delicate
Sumatra Mandheling,Parisi Artisan Coffee,Sumatra,not disclosed,not disclosed,Medium,earthy    herbal    bold
Sumatra Permata Gayo,Higher Grounds Coffee,Sumatra,not disclosed,"Ateng, Julek, Linie S., Bor Bor",Medium-dark,earthy    herbal    full bodied
Mosaic Blend,Camber Coffee,Peru,not disclosed,"Bourbon, Caturra",Medium,citrus    cherry    juicy
Brazil Fazenda Sertao,Dillanos Coffee Roasters,Brazil,not disclosed,"Bourbon, Catuai",Medium-dark,caramel    tobacco    rich
Peru Cafe De Mujer Espresso,Barefoot Coffee Roasters,Peru,not disclosed,"Bourbon, Catimor, Pache, Caturra, Typica",Medium,cherry    lime    vibrant
Congo Kawa Kanzaruru,Portrait Coffee,Congo,not disclosed,Blue Mountain,Medium,baking spices    pineapple    complex
Portage Seasonal Blend,Ruby Coffee Roasters,"Brazil, Colombia",not disclosed,"Caturra, Colombia, Catuaí",Medium-dark,chocolate    raisin    rich
Tomorrow Seasonal Project,Ruby Coffee Roasters,Peru,not disclosed,"Caturra, Bourbon, Pache, Catimor",Medium,apple    dried cherry    balanced
Ad Astra Signature Blend,PT's Coffee Roasting Co.,"Brazil, Mexico",not disclosed,not disclosed,Very Dark,dark chocolate    cola    bold
Late Night,Methodical Coffee,"Brazil, Costa Rica",not disclosed,"Yellow Catuaí, Mundo Novo, Caturra",Medium,dark chocolate    roasted nuts    rich
Organic Swiss Water Decaf Honduras,Dawson Taylor Coffee Roasters,Honduras,not disclosed,"Caturra, Catuaí",Medium,milk chocolate    maple syrup    balanced
Skylar's Blend,Dillanos Coffee Roasters,"Costa Rica, Tanzania and Papua New Guinea",not disclosed,not disclosed,Medium,caramel    chocolate    rich
Dark Sumatra Highlands Fair Trade Organic,Colectivo Coffee,Sumatra,not disclosed,"Caturra, Typica, Catimor, Tim Tim, BorBor, Bergendal, Jember",Very Dark,smoky    earthy    full bodied
Nor'wester,Caffe Vita Coffee Roasting Co,"Ethiopia, Colombia, Indonesia",not disclosed,"Castillo, Typica",Medium-light,cherry    maple    complex
Organic Sumatra Gayo River,Caffe Vita Coffee Roasting Co,Sumatra,not disclosed,"Typica, TimTim, Ateng",Medium-dark,earthy    herbal    full bodied
Breakfast Blend,Tony's Coffee,Central and South America,not disclosed,not disclosed,Medium,toffee    cherry    vibrant
Mexico Chiapas,Tony's Coffee,Mexico,not disclosed,various,Medium,cocoa    roasted almond    creamy
Sumatra Mutu Batak,Klatch Coffee Roasting,Sumatra,not disclosed,"Ateng, Jember, and Garundang",Medium,cacao    cedar    earthy
Colombia Marco Fidel Lopez,Tony's Coffee,Colombia,not disclosed,"Castillo, Caturra",Medium-light,melon    vanilla    lively
Summer Annuals ,Ceremony Coffee Roasters,"Ethiopia, Mexico",not disclosed,"Typica, Bourbon, Caturra, Mundo Novo, Ethiopian Landraces",Medium-light,nectarine    lime    vibrant
Starr Hill Stout Blend,Red Rooster Coffee,"Indonesia, Africa, the Americas",not disclosed,not disclosed,Medium-dark,dark chocolate    caramel    complex
L'Alba,Parisi Coffee Roasters,South America,not disclosed,not disclosed,Medium,chocolate    hazelnut    rich
Decaf EA Mexico,Ceremony Coffee Roasters,Mexico,not disclosed,"Typica, Caturra, Mundo Novo",Medium,chocolate    cherry    rich
Colombia La Pelota,Goshen Coffee Company,Colombia,not disclosed,"Caturra, Typica",Medium-light,stone fruit    citrus    lively
Colombia Valle del Cauca Decaf,Portrait Coffee,Colombia,not disclosed,"Caturra, Castillo",Medium,caramel    dried cherry    balanced
Cold Brew Blend,Mela Coffee Roasting Company,not disclosed,not disclosed,"Bourbon, Yellow Caturra, Acaiá",Medium,cocoa    baking spices    full bodied
Night Owl Half-Caff Blend,Red Rooster Coffee,"Colombia, Peru",not disclosed,"Catuaí, Colombia, Castillo, Caturra",Medium-dark,chocolate    earthy    balanced
Mexico Monte Albán,Anodyne Coffee Roasters,Mexico,not disclosed,"Bourbon, Typica",Medium,almond    lemon    balanced
Guatemala Hunapu,Kuma Coffee,Guatemala,not disclosed,Red Bourbon,Medium-light,orange    fruit punch    vibrant
Organic Brazil Matas De Minas Klem,Centri Coffee,Brazil,not disclosed,Catuaí,Medium,chocolate    cola    balanced
Ethiopia Guji Natural,Barefoot Coffee Roasters,Ethiopia,not disclosed,Indigenous Heirloom,Light,strawberry    tangerine    juicy
Honduran Comsa Decaf,Higher Grounds Coffee,Honduras,not disclosed,"Lempira, Catuaí, Catimor",Medium,caramel    chocolate    balanced
Colombia Elkin Guzman Caturra Honey,Brandywine Coffee Roasters,Colombia,not disclosed,Caturra,Light,cherry    almond    vibrant
Decaf Organic Espresso Cuatro ,Zoka Coffee Roasting Co,South America,not disclosed,not disclosed,Medium-dark,caramel    nutty    full bodied
Gran's Blend Half-Decaf,Higher Grounds Coffee,"Honduras, Peru",not disclosed,"Typica, Bourbon, Catimor, Lempira",Medium,toffee    nutty    balanced
River Days Seasonal Espresso,Ritual Coffee Roasters,"Colombia, Honduras, Guatemala",not disclosed,"Typica, Bourbon, Pacas, Castillo",Medium,brown sugar    clementine    vibrant
El Salvador Metapan,Verve Coffee Roasters,El Salvador,not disclosed,Various,Medium-light,green apple    cocoa    balanced
Colombia Maria Cristina Cordoba,Verve Coffee Roasters,Colombia,not disclosed,Colombia,Medium,milk chocolate    red apple    balanced
Ethiopia Chelchele Natural,Verve Coffee Roasters,Ethiopia,not disclosed,Ethiopian heirloom,Light,raspberry    sweet cream    juicy
French Roast,Mela Coffee Roasting Company,Honduras,not disclosed,"Pacas, Caturra, Bourbon, Catuaí",Very Dark,dark chocolate    caramel    rich
Colombia Rafael Rivas,Camber Coffee,Colombia,not disclosed,"Castillo, Colombia",Light,plum    cherry    vibrant
Ethiopia Teshome Gemechu,Camber Coffee,Ethiopia,not disclosed,Wolisho & Dega,Light,lemon    melon    lively
Peru Velo de Novia Washed,PT's Coffee Roasting Co.,Peru,not disclosed,"Bourbon, Caturra",Medium-light,nectarine    black tea    lively
Colombia El Porvenir Tabi Washed,PT's Coffee Roasting Co.,Colombia,not disclosed,Tabi,Medium-light,apple    macadamia    vibrant
Ethiopia Laayyoo Natural,Ceremony Coffee Roasters,Ethiopia,not disclosed,74110 + 74112,Light,rose    blueberry    juicy
Brazil Danilo Vital,Portrait Coffee,Brazil,not disclosed,Yellow Catuaí,Medium-light,caramel    fig    syrupy
Guatemala Los Santos,Temple Coffee,Guatemala,not disclosed,"Bourbon, Caturra, Catuaí, Typica",Medium-light,lemon    cherry    vibrant
Honduras Juan Vicente Natural ,Thou Mayest Coffee Roasters,Honduras,not disclosed,"Bourbon, Pache",Light,tropical fruit    melon    juicy
Ethiopia Yabitu Koba Natural,Olympia Coffee Roasting Co,Ethiopia,not disclosed,Ethiopian heirloom,Medium-light,grape    blueberry    juicy
Colombia Gabriel Castano Buendia,Onyx Coffee Lab,Colombia,not disclosed,Pink Bourbon,Light,cherry    lime    silky
Ethiopia Wush Wush Natural,Onyx Coffee Lab,Ethiopia,not disclosed,Ethiopian heirloom,Light,mixed berries    rooibos tea    juicy
Bolivia La Llama,Panther Coffee Roasters,Bolivia,not disclosed,Caturra,Medium-light,chocolate    lychee    round
Ethiopia Chelbessa,Panther Coffee Roasters,Ethiopia,not disclosed,Indigenous Varieties,Medium-light,peach    nectarine    bright
Guatemala Atilán Aprocafé,Huckleberry Roasters,Guatemala,not disclosed,"Caturra, Bourbon, Catuaí, Pache",Medium-light,nougat    red plum    balanced
Uganda Sipi Falls Washed,Huckleberry Roasters,Uganda,not disclosed,"SL-28, SL-34",Light,apricot    citrus    bright
Burundi Ninga,Huckleberry Roasters,Burundi,not disclosed,Bourbon,Light,clementine    white grape    bright
Papua New Guinea Baroida Natural,Red Rooster Coffee,Papua New Guinea,not disclosed,"Arusha, Bourbon, Mundo Novo, Typica",Light,red currant    grapefruit    bright
Nicaragua Finca Pastoral Honey,Red Rooster Coffee,Nicaragua,not disclosed,"Catuaí, Parainema",Light,tangerine    pear    complex
Dominican Republic Ramirez Aged ,Red Rooster Coffee,Dominican Republic,not disclosed,Red Caturra,Light,cherry    strawberry    juicy
Ethiopia Worka Sakaro Anaerobic Natural,Red Rooster Coffee,Ethiopia,not disclosed,Landrace,Light,berries    rose    juicy
DR Congo Muungano,Kaldi's Coffee Roasting Co,Congo,not disclosed,Bourbon,Medium-light,plum    oolong tea    complex
Timor-Leste Fatubesi,Kaldi's Coffee Roasting Co,East Timor,not disclosed,"Typica, Hybrido de Timor",Medium,chocolate    almond    balanced
Mexico Los Naranjos,Coava Coffee Roasters,Mexico,not disclosed,"Caturra, Pluma Hidalgo",Medium-light,orange    maple    balanced
Guatemala La Bolsa,Tony's Coffee,Guatemala,not disclosed,"Bourbon, Caturra",Medium-light,apple    plum    vibrant
Ethiopia Decaf Halo Hartume,Metric Coffee Co.,Ethiopia,not disclosed,not disclosed,Medium,berries    lemon    juicy
Nicaragua Los Pozitos,Ceremony Coffee Roasters,Nicaragua,not disclosed,"Caturra, Catuaí, Java",Medium-light,apple    vanilla    juicy
Colombia Familia Ortega Gomez,1000 Faces Coffee Roasters,Colombia,not disclosed,Red Caturra,Medium-light,cherry    berries    juicy
Nicaragua Aldea,Methodical Coffee,Nicaragua,not disclosed,"Caturra, Catuaí",Medium,almond    orange    dynamic
Honduras Santa Lucia Family,Methodical Coffee,Honduras,not disclosed,"Caturra, Lempira, lh90",Medium,chocolate    almond    balanced
Guatemala Bella Vista,Cat & Cloud Coffee,Guatemala,not disclosed,Bourbon,Medium-light,strawberry    tangerine    juicy
Mexico Finca San Alfonso,Cat & Cloud Coffee,Mexico,not disclosed,Marsellesa,Medium-light,vanilla    papaya    complex
Kenya Kagumoini,Cat & Cloud Coffee,Kenya,not disclosed,"SL-28, Batian, Ruiru 11",Medium-light,kiwi    pineapple    vibrant
Ethiopia Worka,Cat & Cloud Coffee,Ethiopia,not disclosed,Ethiopian heirloom,Light,apricot    lemon    bright
Honduras Roger Dominguez Natural,Populace Coffee,Honduras,not disclosed,"Bourbon, Catuaí",Light,chocolate    cherry    balanced
Pedernales ,Alma Coffee,Honduras,not disclosed,not disclosed,Light,pomegranate    apple    bright
Verano Summer,Alma Coffee,Honduras,not disclosed,Parainema,Medium-light,strawberry    peach    dynamic
Ethiopia Buliye,Tandem Coffee Roasters,Ethiopia,not disclosed,Ethiopian heirloom,Light,strawberry    lemon    vibrant
Guatemala El Mirador,Tandem Coffee Roasters,Guatemala,not disclosed,"Bourbon, Caturra, Catuaí",Light,cherry    toasted almond    balanced
Kenya Giakanja,Tandem Coffee Roasters,Kenya,not disclosed,"SL-28, SL-34, Ruiru 11, Batian",Light,blackberry    lime    bright
Ecuador Mitad Del Mundo,Verve Coffee Roasters,Ecuador,not disclosed,"Typica, Caturra, Bourbon",Medium-light,orange    nutmeg    complex
Ethiopia Kayon Mountain Natural,Verve Coffee Roasters,Ethiopia,not disclosed,Ethiopian heirloom,Light,cocoa    fig    juicy
Ethiopia Nano Genji Lot 6,Kaldi's Coffee Roasting Co,Ethiopia,not disclosed,Ethiopian heirloom,Medium-light,tropical fruit    citrus    floral
Mexico Zaragoza Itunduija,Portrait Coffee,Mexico,not disclosed,Typica,Medium-light,peach    mango    lively
Kenya Gatirima AB,Portrait Coffee,Kenya,not disclosed,"SL-28, SL-34",Medium-light,tangerine    melon    bright
Costa Rica Finca Calle Lajas,Evans Brothers Coffee Roasters,Costa Rica,not disclosed,"Caturra, Catuaí",Medium-light,raspberry    cherry    juicy
El Salvador Las Delicias,Evans Brothers Coffee Roasters,El Salvador,not disclosed,Bourbon,Medium-light,milk chocolate    raisin    balanced
Ethiopia Worka Chelbessa Yirgacheffe,Sightglass Coffee,Ethiopia,not disclosed,Ethiopian heirloom,Medium-light,peach    elderflower    vibrant
Burundi Turihamwe,Temple Coffee,Burundi,not disclosed,Bourbon,Medium,cocoa    baking spice    complex
Campfire Blend,Caffe Vita Coffee Roasting Co,"Ethiopia, Colombia, Peru",not disclosed,Caturra,Medium-light,orange    marshmallow    balanced
Dreamsicle Aponte Colombia,Caffe Vita Coffee Roasting Co,Colombia,not disclosed,Caturra,Medium-light,mandarin    vanilla    vibrant
Kenya Karatu,Ceremony Coffee Roasters,Kenya,not disclosed,SL-28,Light,lemon    concord grape    lively
Ethiopia Buku,Ceremony Coffee Roasters,Ethiopia,not disclosed,Dega,Medium-light,mango    floral    delicate
Ripple,Dawson Taylor Coffee Roasters,"Ethiopia, Colombia",not disclosed,"Caturra, Ethiopian heirloom",Medium-light,berries    milk chocolate    juicy
Costa Rica Las Lajas Natural,Onyx Coffee Lab,Costa Rica,not disclosed,"Catuaí, Caturra",Light,blueberry    papaya    juicy
Ethiopia Nano Genji,Onyx Coffee Lab,Ethiopia,not disclosed,Ethiopian heirloom,Light,peach    jasmine    vibrant
Mexico Flor de Primavera Espresso,Noble Coffee Roasting,Mexico,not disclosed,"Bourbon, Typica, Oro Azteca & Marsellesa",Medium-light,fudge    apple    balanced
S.O. Blend,Coava,The Americas & East Africa,not disclosed,not disclosed,Medium,chocolate    baking spice    balanced
Kenya Mahiga AA,Camber Coffee,Kenya,not disclosed,Ruiru 11,Light,grapefruit    lime    bright
Kenya Karinga,Case Coffee Roasters,Kenya,not disclosed,SL-28,Light,grapefruit    mandarin    juicy
Guatemala Flor de Café,Anodyne Coffee Roasters,Guatemala,not disclosed,"Bourbon, Caturra, Typica, Catuaí, Catimor",Medium,chocolate    citrus    balanced
Organic Guatemala Maya Lxil De Avelina,Klatch Coffee Roasting,Guatemala,not disclosed,"Bourbon, Typica",Medium,nougat    stone fruit    balanced
Burundi Ngozi Bahire,Cartel Roasting Co.,Burundi,not disclosed,Bourbon,Light,pineapple    banana    vibrant
Costa Rica Javier Solis,Tandem Coffee Roasters,Costa Rica,not disclosed,Catuaí,Light,nectarine    coconut    complex
Summer Solstice Blend,1000 Faces Coffee Roasters,"Colombia, Rwanda",not disclosed,"Red Bourbon, Pink Bourbon",Medium-light,plum    rose    vibrant
Colombia Agroambiental,Panther Coffee Roasters,Colombia,not disclosed,Castillo,Medium-light,chocolate    cherry    balanced
Kenya Gachatha AA,Evans Brothers Coffee Roasters,Kenya,not disclosed,"SL-28, SL-34, Ruiru 11",Medium-light,pear    citrus    bright
Larrea Blend,Verve Coffee Roasters,"Ethiopia, Indonesia",not disclosed,not disclosed,Medium-light,orange    watermelon    vibrant
Rwanda Karambi,Verve Coffee Roasters,Rwanda,not disclosed,Bourbon,Medium-light,honeydew    nougat    complex
El Angel Costa Rica,Ritual Coffee Roasters,Costa Rica,not disclosed,Caturra,Medium,cola    toasted almond    syrupy
Cerro Buena Vista Costa Rica,Ritual Coffee Roasters,Costa Rica,not disclosed,Catuaí,Medium-light,lime    ginger    complex
Colombia La Delfita,Temple Coffee,Colombia,not disclosed,Castillo,Medium,apricot    lemon    lively
Colombia Miller Bustos El Mirador,Brandywine Coffee Roasters,Colombia,not disclosed,Pink Bourbon,Light,cherry    date    juicy
Rwanda Ngoma,1000 Faces Coffee Roasters,Rwanda,not disclosed,Red Bourbon,Medium-light,blackberry    pomegranate    juicy
Brazil Swiss Water Process Decaf,PT's Coffee Roasting Co.,Brazil,not disclosed,"Bourbon, Yellow Catuaí, Mundo Novo, Acaiá",Medium,chocolate    raisin    balanced
Organic Nicaragua,Red Rooster Coffee,Nicaragua,not disclosed,"Caturra, Catuaí",Medium-dark,cocoa    black cherry    rich
Honduras Benigno Mejía Garcia,Camber Coffee,Honduras,not disclosed,Parainema,Light,cherry    kiwi    lively
Peru Elvis Davila,Camber Coffee,Peru,not disclosed,"Bourbon, Caturra",Light,grapefruit    lychee    bright
Congo,Alma Coffee,Congo,not disclosed,Bourbon,Medium-light,peach    strawberry    complex
Decaf Ethiopia Chelbessa,Wonderstate Coffee,Ethiopia,not disclosed,Ethiopian heirloom,Medium,jasmine    citrus    vibrant
Burundi Gahahe,Camber Coffee,Burundi,not disclosed,Bourbon,Light,peach    clove    complex
Colombia Kenny Adarme,Camber Coffee,Colombia,not disclosed,"Castillo, Caturra",Light,cranberry    apple blossom    bright
Ethiopia Reko,Case Coffee Roasters,Ethiopia,not disclosed,Ethiopian heirloom,Light,tangerine    apricot    sparkling
Guatemalan Atitlán,Noble Coffee Roasting,Guatemala,not disclosed,"Bourbon, Caturra, Typica",Light,red apple    coconut    complex
Madrid Family Honduras Espresso,Verve Coffee Roasters,Honduras,not disclosed,"Pacas, Parainema",Medium,lime    melon    vibrant
Burundi Busambo,Panther Coffee Roasters,Burundi,not disclosed,Red Bourbon,Medium-light,blackberry    grapefruit    juicy
Rwanda Sholi,Kaldi's Coffee Roasting Co,Rwanda,not disclosed,Bourbon,Medium-light,apricot    lemon    complex
Peru Rosa Mego,Goshen Coffee Company,Peru,not disclosed,"Caturra, Catimor",Light,cranberry    lime    bright
Decaf Costa Rica Tierras Ticas,Kuma Coffee,Costa Rica,not disclosed,not disclosed,Medium,clementine    pecan    vibrant
Brazil Alta Mogiana,Barefoot Coffee Roasters,Brazil,not disclosed,not disclosed,Medium-light,strawberry    chocolate    rich
Ethiopia Kilenso,Coava Coffee Roasters,Ethiopia,not disclosed,Ethiopian heirloom,Medium-light,lavender    cantaloupe    vibrant
Ethiopia Behatu Jibicho,Tony's Coffee,Ethiopia,not disclosed,Ethiopian heirloom,Medium-light,orange    grape    juicy
Ethiopia Mustefa Natural,PT's Coffee Roasting Co.,Ethiopia,not disclosed,Ethiopian heirloom,Light,red currant    pecan    vibrant
Peru Rayos del Sol,Panther Coffee Roasters,Peru,not disclosed,"Bourbon, Catuaí, Pache, Caturra",Medium-light,vanilla    berries    silky
Peru Maranura,Noble Coffee Roasting,Peru,not disclosed,"Bourbon, Typica, Caturra, Geisha",Light,nougat    mango    balanced
Decaf Peru,Red Rooster Coffee,Peru,not disclosed,not disclosed,Medium-light,citrus    dark chocolate    bright
Colombia Los Guacharos,Ruby Coffee Roasters,Colombia,not disclosed,"Caturra, Colombia",Medium,black cherry    apple    bright
Mexico Tecolotl,Dawson Taylor Coffee Roasters,Mexico,not disclosed,"Caturra, Bourbon, Sarchimor",Medium-light,citrus    floral    complex
Colombia Laboyano,Topeca Coffee Roasters,Colombia,not disclosed,"Colombia, CaturraPink Bourbon",Medium-light,cherry cola    baking spice    complex
Cold Brew Blend,Tony's Coffee,Central and South America,not disclosed,not disclosed,Medium-dark,maple    hazelnut    rich
Colombia Mejor,Panther Coffee Roasters,Colombia,not disclosed,Castillo,Medium-light,cherry    citrus    bright
Decaf Los Montanos,Ritual Coffee Roasters,Colombia,not disclosed,"Colombia, Castillo",Medium,green grape    milk chocolate    complex
Il Primo,Parisi Coffee Roasters,South America,not disclosed,not disclosed,Medium,milk chocolate    citrus    balanced
Colombia Decaf,Parisi Coffee Roasters,Colombia,not disclosed,not disclosed,Medium-light,dark chocolate    citrus    balanced
Wilder Blend,Verve Coffee Roasters,"Ethiopia, Colombia",not disclosed,"Ethiopian heirloom, Colombia",Medium-light,cherry    honeysuckle    complex
Organic August Seasonal Blend,Ruby Coffee Roasters,"Colombia, Ethiopia",not disclosed,"Ethiopian heirloom, Caturra, Colombia",Medium,berries    orange zest    vibrant
Organic Papua New Guinea Siane Chimbu,Centri Coffee,Papua New Guinea,not disclosed,"Bourbon, Typica",Medium,cacao    citrus    balanced
Sumatra Bebagi Kepada,Goshen Coffee Company,Indonesia,not disclosed,"S795, Tim-Tim, Typica, Andung Sari",Medium,cocoa    oak    savory
Moonstone,Goshen Coffee Company,Various,not disclosed,Various,Medium,walnut    grapefruit    bright
Colombia El Vergel,Dawson Taylor Coffee Roasters,Colombia,not disclosed,Caturra,Medium,apple    floral    vibrant
Decaf Sumatra Mandheling,Portola Coffee Roasters,Indonesia,not disclosed,not disclosed,Medium-dark,chocolate    earthy    rich
Tropical Weather,Onyx Coffee Lab,Ethiopia,not disclosed,Ethiopian heirloom,Medium,mixed berries    sweet tea    juicy
Jack Creek Cold Brew,Sisters Coffee Company,"Rwanda, Colombia",not disclosed,"Red Bourbon, Colombia, Castillo",Medium,chocolate    honey    complex
Cold Front Signature Blend,PT's Coffee Roasting Co.,"Colombia, Ethiopia",not disclosed,not disclosed,Medium,chocolate    blackberry    balanced
