,coffee_title,roaster,coffee_origin,coffee_region,variety,farmer,roast_level,flavor,coffee_type,altitude
323,Sumatra Mandheling Organic,Mela Coffee Roasting Company,Sumatra,,"Caturra, Typica, Catimor",various small holder producers,Medium,"['earthy', 'baking spices', 'full bodied']",Single Origin,
324,Decaf Chicago House Blend,Passion House Coffee Roasters,,,,,Medium,"['chocolate', 'caramel', 'balanced']",,1400 - 1600
325,Decaf Honduras,Mela Coffee Roasting Company,Honduras,,,various small holder producers,Medium-dark,"['caramel', 'vanilla', 'smooth']",,
326,Epiphany House Espresso Blend,Case Coffee Roasters,Varies Seasonally,,,,Medium-light,"['chocolate', 'caramel', 'balanced']",Espresso,
327,Colombia Frontera de Planadas,Methodical Coffee,Colombia,,"Caturra, Castillo",various small producers,Medium,"['caramel', 'hazelnut', 'balanced']",Single Origin,1800 - 2000
328,Southern Gothic ,Quills Coffee,"Peru, Colombia",,,,Medium-light,"['dark chocolate', 'caramel', 'balanced']",Blend,
329,Bolivia Caranavi,Higher Grounds Coffee,Bolivia,,"Caturra, Typica","Union Pro-Agro, AIPEP, Mejillones",Medium,"['chocolate', 'nutty', 'rich']",Single Origin,1000 - 1750
330,Smooth Operator Brazil Cocarive Cooperative,Thou Mayest Coffee Roasters,Brazil,,"Bourbon, Cataui, Mundo Novo",Cocarive Cooperative,Medium-light,"['chocolate', 'caramel', 'rich']",Single Origin,1200
331,Organic Honduras COMSA Fair Trade,Centri Coffee,Honduras,,"Bourbon, Catuaí, Lempira, Caturra, Typica, Pacas",COMSA,Medium,"['cacao nibs', 'walnut', 'full bodied']",Single Origin,1300 - 1700
332,Laid Back Decaf ,Thou Mayest Coffee Roasters,Colombia,,"Caturra, Castillo and Typica",various small holder producers,Medium,"['caramel', 'nutty', 'balanced']",,1850
333,Decaf Fool's Gold Blend,Anodyne Coffee Roasting Co.,,,,various small producers,Medium,"['earthy', 'nutty', 'balanced']",,800 - 1000
334,Boldly Go,Thou Mayest Coffee Roasters,Sumatra,,Ateng,various small holder producers,Medium-dark,"['earthy', 'chocolate', 'bold']",Single Origin,1400
335,Nicaragua Penas Blancas,Bixby Roasting Co.,Nicaragua,,Catimor,La Dalia,Very Dark,"['chocolate', 'almond', 'full bodied']",Single Origin,1200
336,Atticus,Steadfast Coffee Roasters,"Latin America, Africa, South Seas",,,,Medium,"['stone fruit', 'milk chocolate', 'balanced']",Blend,
337,Night Moves Blend,Passion House Coffee Roasters,Latin America,,,,Medium-dark,"['chocolate', 'caramel', 'bold']",Blend,1500 - 1700
338,Bronson French Roast,Verve Coffee Roasters,Colombia,,"Castillo, Caturra, Colombia",various small holder producers,Medium-dark,"['smoky', 'molasses', 'full bodied']",Blend,1700 - 2000
339,Brazil Dulce Signature,Methodical Coffee,Brazil,,"Yellow Catuaí, Mundo Novo",Maria Helena Dumont and Selma Veira,Medium,"['dark chocolate', 'nutty', 'balanced']",Single Origin,750 - 1150
340,4&20 French Roast ,Red Rooster Coffee,"East Timor, Nicaragua",,"Catimor, Caturra, Catuaí, Bourbon","OMULFAC, Cooperativa Cafe Timor",Medium-dark,"['chocolate', 'earthy', 'rich']",Blend,1600 - 1800
341,Sleeping Goat Decaf ,Klatch Coffee,"Brazil, Colombia, Sumatra",,,,Very Dark,"['smoky', 'chocolate', 'bold']",,1300 - 1700
342,Sumatra Fair Trade & Organic,Tony's Coffee,Sumatra,,,various small holder producers,Medium,"['earthy', 'baking spices', 'full bodied']",Single Origin,
343,Brazil Serra Negra,Quills Coffee ,Brazil,,various,various small holder producers,Medium-light,"['nutty', 'chocolate', 'full bodied']",Single Origin,1200 - 2000
344,Mayan Magic Espresso,Higher Grounds Coffee,"Ethiopia, Guatemala, Sumatra",,,various small holder producers,Medium-dark,"['chocolate', 'fruity', 'rich']",Espresso,
345,Velo French Roast,Colectivo Coffee,"Honduras, Sumatra",,,,Very Dark,"['smoky', 'chocolate', 'bold']",Blend,
346,Brazil Cocarive,Parisi Artisan Coffee,Brazil,,"Caturra, Catuai",Cocarive Cooperative,Medium,"['chocolate', 'nutty', 'full bodied']",Single Origin,1100 - 1400
347,Colombia Cauca,Good Folks Coffee,Colombia,,"Caturra, Castillo, Colombia",,Medium,"['stone fruit', 'apple', 'complex']",Single Origin,1600 - 2000
348,Coffeehouse Blend,Tony's Coffee,Central and South America,,,,Medium-dark,"['chocolate', 'nutty', 'full bodied']",Blend,
349,Decaf Asterisk ,Olympia Coffee Roasting Co,Colombia,,"Caturra, Colombia",,Medium-light,"['chocolate', 'caramel', 'syrupy']",,1700
350,Crazy Goat Blend,Klatch Coffee,"Brazil, Colombia, El Salvador, Sumatra",,,,Medium,"['dark chocolate', 'spice', 'full bodied']",Blend,1600 - 1900
351,Canopy Organic Blend,Wonderstate Coffee,Guatemala,,"Bourbon, Caturra, Typica",La Unidad Cooperative,Medium-dark,"['dark chocolate', 'brown sugar', 'balanced']",Blend,1600-2100
352,Mexico Yachil,Higher Grounds Coffee,Mexico,,"Bourbon, Caturra, Typica",777 Mayan small holder producers,Medium-dark,"['chocolate', 'nutty', 'rich']",Single Origin,1000 - 1300
353,Colombia Nariño FUDAM,Evans Brothers Coffee Roasters,Colombia,,"Colombia, Castillo, Caturra",FUDAM,Medium,"['chocolate', 'almond', 'balanced']",Single Origin,1600-2100
354,Bistro Blend,Caffe Vita Coffee Roasting Co,"South America, Indonesia, Africa",,,,Medium,"['caramel', 'nutty', 'rich']",Blend,1200 - 2000
355,Decaf Funky Chicken,Red Rooster Coffee,,,,,Medium-dark,"['dark chocolate', 'citrus', 'balanced']",,
356,Peru Rutas del Inca FTO,Kaldi's Coffee Roasting Co,Peru,,"Catimor, Caturra, Typica, Bourbon, Catuaí",Rutas del Inca,Medium-light,"['chocolate', 'apple', 'balanced']",Single Origin,1800 - 2400
357,Dawn Patrol,Dawson Taylor Coffee Roasters,"Peru, Sumatra",,"Typica, Bourbon, Catimor, Villa Sarchi",,Medium,"['chocolate', 'nutty', 'balanced']",Blend,1000 - 2050
358,Dark Roast,Populace Coffee,"Brazil, Nicaragua",,"Bourbon, Typica, Catuaí",,Medium-dark,"['dark chocolate', 'nutty', 'rich']",Blend,1300-1500
359,Papua New Guinea Roots AX,Cartel Roasting Co.,Papua New Guinea,,"Typica, Arusha",437 smallholder farmers delivering to Mr. Tony Tokah,Medium-light,"['apple', 'peanut butter', 'rich']",Single Origin,1750 - 1900
360,Colombia Decaf,Good Folks Coffee,Colombia,,"Colombia, Castillo, Caturra",,Medium,"['brown sugar', 'dried fruit', 'full bodied']",,1200-2000
361,Guatemala San Marcos,Higher Grounds Coffee,Guatemala,,"Bourbon, Caturra, Typica",APECAFORM Cooperative,Medium-light,"['caramel', 'floral', 'balanced']",Single Origin,1400 - 1800
362,Brazil AFASA,Evans Brothers Coffee Roasters,Brazil,,"Mundo Novo, Yellow Bourbon, Catuaí, Yellow Catucai",AFASA,Medium,"['cocoa', 'nutty', 'balanced']",Single Origin,900 - 1200
363,Ethiopia Masha Natural Espresso,Barefoot Coffee Roasters,Ethiopia,,,Haile Gebrselassie,Medium-light,"['blackberry', 'floral', 'juicy']",Espresso,1680-1875
364,Black Dog Espresso,Goshen Coffee Company,Varies Seasonally,,,,Medium-dark,"['cocoa', 'molasses', 'rich']",Espresso,900 - 1900
365,A Shot in the Dark,Portola Coffee Roasters,"Brazil, Colombia",,"Caturra, Typica, Catuaí, Colombia",various,Medium,"['chocolate', 'walnut', 'rich']",Blend,1300-1600
366,Seismic,Metric Coffee Co.,,,,various producers,Medium,"['orange', 'melon', 'sparkling']",Blend,
367,Decaf Colombia,Case Coffee Roasters,Colombia,,,Omar Arango Tinoco | Finca San Luis,Medium-light,"['chocolate', 'caramel', 'rich']",,
368,Daydream Organic Blend,Noble Coffee Roasting,"Honduras, Peru and Sumatra",,,various small producers,Medium-dark,"['smoky', 'earthy', 'bold']",,
369,Onyx Blend,Klatch Coffee,"Brazil, Colombia, Costa Rica",,,various small holder producers,Medium,"['chocolate', 'mandarin', 'balanced']",Blend,1600 - 1900
370,Roma Espresso Blend,Parisi Artisan Coffee,,,,small holder producers,Medium-dark,"['chocolate', 'caramel', 'full bodied']",Espresso,
371,Floyd Farmhouse Blend,Red Rooster Coffee,"Colombia, Rwanda, Ethiopia",,"Ethiopian heirloom, Typica, Caturra, Castillo, Colombia, Bourbon","Agprocem, Misozi Abakundakawa, SCFCU",Medium,"['chocolate', 'almond', 'complex']",Blend,1500 - 2200
372,Decaf World Tour Organic Blend,Noble Coffee Roasting,"Ethiopia, Mexico, Sumatra",,,various small producers,Medium,"['chocolate', 'caramel', 'full bodied']",,
373,Honduras COMSA Marcala,Red Rooster Coffee,Honduras,,,"Cafe Organico Marcala, S.A",Medium,"['dark chocolate', 'hazelnut', 'syrupy']",Single Origin,
374,Moka Java Blend,Dillanos Coffee Roasters,"Ethiopia, Sumatra",,,various small producers,Very Dark,"['earthy', 'baking spices', 'complex']",,
375,Darkest Side of the Moon,Passion House Coffee Roasters,Honduras,,,,Medium-dark,"['dark chocolate', 'walnut', 'rich']",Blend,
376,Chicago House Blend,Passion House Coffee Roasters,,,,,Medium-light,"['caramel', 'citrus', 'balanced']",,
377,Colombia Paso Fino,Colectivo Coffee,Colombia,,"Bourbon, Caturra, Typica, Colombia, Castillo",various small holder producers,Medium,"['caramel', 'citrus', 'juicy']",Single Origin,1500 - 2000
378,Boru Batak Sumatra,Bird Rock Coffee Roasters,Sumatra,,"Ateng, Jember, Garundang",,Light,"['dried fruit', 'tobacco', 'syrupy']",Single Origin,1000-1400
379,Ember,Alma Coffee,Honduras,,Parainema,Al Lopez,Very Dark,"['dark chocolate', 'marshmallow', 'bold']",Single Origin,1000
380,West Coast Espresso,Panther Coffee,,,,,Medium-light,"['caramel', 'fruity', 'bright']",Espresso,
381,Rio Azul Guatemala,Dillanos Coffee Roasters,Guatemala,,Caturra and Typica,Rio Azul Cooperative,Medium-dark,"['chocolate', 'baking spices', 'balanced']",,1500
382,Decaf Tangletown ,Zoka Coffee Roasting Co,Central and South America,,,,Medium,"['chocolate', 'citrus', 'balanced']",,
383,Organic House Espresso,Klatch Coffee,"Brazil, Colombia, Ethiopia, Sumatra",,,various small holder producers,Medium,"['chocolate', 'nutty', 'balanced']",Espresso,1200 - 2000
384,Green Planet Organic Blend,Dillanos Coffee Roasters,"Costa Rica, Guatemala, Honduras",,,,Medium-dark,"['chocolate', 'caramel', 'balanced']",,
385,Ava Blonde Blend,Dillanos Coffee Roasters,,,,,Medium,"['nutty', 'chocolate', 'balanced']",,
386,Breakfast Blend,Dawson Taylor Coffee Roasters,"Colombia, Sumatra",,"Bourbon, Typica, Red Bourbon, Catimor",,Medium-dark,"['chocolate', 'earthy', 'full bodied']",Blend,1200 - 2000
387,Decaf Colombia Paso Fino ,Colectivo Coffee ,Colombia,,,,Medium,"['caramel', 'fruity', 'balanced']",,
388,Indigo,Colectivo Coffee,"Ethiopia, Colombia",,"Ethiopian Heirloom, Caturra, Castillo, Colombia",Guracho Washing Station,Medium,"['berries', 'baking spices', 'juicy']",Blend,"1900 - 2,000"
389,Espresso Proper,Populace Coffee,"Colombia, Kenya",,,,Medium-light,"['melon', 'ginger', 'lively']",Espresso,1500 - 2000
390,Cerberus,Barefoot Coffee Roasters,Honduras,,,,Very Dark,"['dark chocolate', 'nutty', 'full bodied']",Single Origin,1100-1650
391,Back 40 Blend,Tony's Coffee,"Colombia, Honduras, Guatemala, Nicaragua, Papua New Guinea",,,,Very Dark,"['dark chocolate', 'smoky', 'bold']",Blend,
392,Espresso Clutch,Populace Coffee,"Costa Rica, Brazil and Colombia",,,various small producers,Medium-light,"['chocolate', 'dried cherry', 'rich']",,
393,Colombia Fondo Paez,Higher Grounds Coffee,Colombia,,"Typica, Castillo",various small holder producers,Medium-light,"['nutty', 'caramel', 'balanced']",Single Origin,1300 - 1900
394,Dawson's House Blend,Dawson Taylor Coffee Roasters,"Sumatra, Costa Rica",,"Caturra, Red Caturra, Catimor, Bourbon",,Medium,"['chocolate', 'caramel', 'balanced']",Blend,1200 - 1550
395,Paradox Blend,Dillanos Coffee Roasters,,,various,small holder producers,Medium-dark,"['vanilla', 'cola', 'rich']",Blend,
396,Standing on the Moon,Passion House Coffee Roasters,El Salvador,,Red Bourbon,"Emilio Lopez Diaz, Finca El Manzano",Medium-light,"['tangerine', 'nougat', 'complex']",Single Origin,1525
397,Fitzroy Blend,Zoka Coffee Roasting Co,Central and South America,,,,Medium,"['caramel', 'chocolate', 'rich']",Blend,
398,Organic French Roast,Centri Coffee,South America,,,,Medium-dark,"['caramel', 'roasty', 'rich']",Blend,
399,Ladro Decaf Blend Swiss Water Process,Caffe Ladro,,,,Varies Seasonally,Medium,"['chocolate', 'nutty', 'balanced']",,
400,Ethiopia,Bixby Roasting Co.,Ethiopia,,Ethiopian heirloom,,Very Dark,"['cocoa', 'dried fruit', 'rich']",Single Origin,1970
401,Highland Humanity,Higher Grounds Coffee,Mexico,,,various small holder producers,Medium-dark,"['caramel', 'chocolate', 'balanced']",Blend,
402,Theo Blend Fair Trade & Organic,Caffe Vita Coffee Roasting Co,"South America, Indonesia",,,,Medium,"['caramel', 'baking spices', 'rich']",Blend,
403,Kenya,Dillanos Coffee Roasters,Kenya,,SL-28,various small holder producer,Medium,"['floral', 'citrus', 'juicy']",,
404,Mexico Oaxaca,Parisi Coffee Roasters,Mexico,,"Bourbon, Typica, Mundo Novo",Red 5 de Deciembre Cooperative,Medium,"['chocolate', 'nutty', 'balanced']",Single Origin,1300
405,Peru La Familia Guzman,Dillanos Coffee Roasters,Peru,,"Caturra, Typica and Catuai",Guzman Family,Medium-dark,"['chocolate', 'nutty', 'rich']",Single Origin,900
406,Ethiopia Meaza,Coava Coffee Roasters,Ethiopia,,Ethiopian heirloom,Kochere Cooperative,Medium-light,"['citrus', 'honeydew', 'floral']",Single Origin,1800-2100
407,Equator Blend,Equator Coffees & Tea,"Colombia, Sumatra, Kenya",,,,Medium-dark,"['chocolate', 'baking spice', 'balanced']",Blend,
408,Nicaragua,Dillanos Coffee Roasters,Nicaragua,,,,Medium-dark,"['nutty', 'herbal', 'balanced']",,
409,Swiss Water Decaf,Dillanos Coffee Roasters,,,,,Very Dark,"['caramel', 'woody', 'full bodied']",,
410,Bravissimo Blend,Parisi Artisan Coffee,,,various,various small producers,Medium,"['chocolate', 'fruity', 'complex']",Blend,
411,Guatemala Finca Nueva Granada,Steadfast Coffee Roasters,Guatemala,,Bourbon,Finca Nueva Granada,Medium,"['milk chocolate', 'grape', 'balanced']",Single Origin,1800
412,Honduras Betty Perez ,Brandywine Coffee Roasters,Honduras,,"Catuaí, Icatú","Betty Perez, Finca Clave Del Sol",Medium-light,"['peach', 'orange', 'vibrant']",Single Origin,1400
413,Suyusama Program,Bird Rock Coffee Roasters,Colombia,,"Colombia, Caturra, Castillo",Padre Joe,Light,"['peach', 'plum', 'vibrant']",Single Origin,1877
414,Colombia Silvia Indigenous Regional,Cartel Roasting Co.,Colombia,,Castillo,Cauca Silvia,Light,"['apricot', 'clove', 'delicate']",Single Origin,1800-2350
415,Italiano,Parisi Coffee Roasters,Central and South America,,,,Medium-dark,"['chocolate', 'molasses', 'rich']",Blend,
416,Ethiopia Masha Natural,Barefoot Coffee Roasters,Ethiopia,,,,Medium-light,"['strawberry', 'tropical fruit', 'juicy']",Single Origin,1680-1875
417,Decaf Monk,1000 Faces Coffee Roasters,Colombia,,"Caturra, Castillo, Colombia",,Medium,"['chocolate', 'hazelnut', 'balanced']",,1500
418,Mokha Java,Goshen Coffee Company,Various,,Various,,Medium,"['red fruits', 'herbal', 'creamy']",Blend,1400 - 2100
419,Guatemala Cachito,Goshen Coffee Company,Guatemala,,"Typica, Caturra",various,Medium-light,"['clementine', 'raw sugar', 'juicy']",Single Origin,1400 - 1600
420,Give Back Blend,Cartel Roasting Co.,"Guatemala, Ethiopia",,"Catuaí, Ethiopian heirloom, Caturra",Legu Trading PLC &  Luis Valdés,Light,"['orange', 'molasses', 'vibrant']",Blend,
421,Costa Rica Don Roberto,Dawson Taylor Coffee Roasters,Costa Rica,,"Caturra, Catuaí",Don Roberto,Medium,"['citrus', 'milk chocolate', 'balanced']",Single Origin,1280 - 1800
422,El Salvador Finca El Manzano,Dillanos Coffee Roasters,El Salvador,,Bourbon,Emilio Lopez Diaz,Medium,"['nutty', 'chocolate', 'balanced']",,1300 - 1550
423,Organic Swiss Water Decaf,Bixby Roasting Co.,"Mexico, Sumatra",,"Typica, Catimor, Caturra, Bourbon, Catuaí",,Very Dark,"['molasses', 'clove', 'rich']",,1000-1750
424,Songbird Blend Fair Trade & Organic,Tony's Coffee,"Central and South America, Indonesia",,,,Medium-dark,"['chocolate', 'caramel', 'full bodied']",Blend,
425,Decaf Mountain Water Brasil,Panther Coffee,Brasil,,Red Catuai,,Medium,"['chocolate', 'caramel', 'balanced']",,1000 - 1200
426,Decaf Hidden City ,Zoka Coffee Roasting Co,Central and South America,,,,Very Dark,"['smoky', 'caramel', 'bold']",,
427,Funky Mamacita,Higher Grounds Coffee,"Bolivia, Peru",,,,Medium,"['earthy', 'nutty', 'bold']",Blend,
428,Nicaragua Jinotega,Parisi Coffee Roasters,Nicaragua,,"Bourbon, Caturra, Catucaí, Catimor",,Medium-dark,"['chocolate', 'almond', 'full bodied']",Single Origin,1300-1500
429,Espresso Parisi Blend,Parisi Artisan Coffee,,,,,Medium,"['chocolate', 'nutty', 'balanced']",,
430,Tanzania,Dillanos Coffee Roasters,Tanzania,,Bourbon,,Very Dark,"['smoky', 'sweet', 'full bodied']",,
431,Decaf Espresso,Klatch Coffee,"Brazil, Colombia, El Salvador, Guatemala, Sumatra",,,various small holder producers,Very Dark,"['chocolate', 'dried fruit', 'rich']",,1200 - 1900
432,Swiss Water Decaf Espresso Primo,Dawson Taylor Coffee Roasters,"Brazil, Colombia, Sumatra",,"Caturra, Bourbon, Typica, Catimor",,Very Dark,"['chocolate', 'vanilla', 'balanced']",,1200 - 1750
433,Organic French Roast,Dawson Taylor Coffee Roasters,Peru,,"Caturra, Catimor, Typica, Bourbon",,Very Dark,"['dark chocolate', 'smoky', 'full bodied']",Single Origin,1200 - 1350
434,Sumatra Highlands Fair Trade Organic,Colectivo,Sumatra,,"Bourbon, Caturra, Typica, Catimor, S795",various small holder producers,Medium,"['earthy', 'herbal', 'complex']",Single Origin,1200 - 1500
435,Ethiopia Guji,Mela Coffee Roasting Company,Ethiopia,,Typica,Guracho Washing Station,Medium-light,"['blueberry', 'floral', 'syrupy']",Single Origin,1900-2100
436,Organic Decaf Mexico,Spyhouse Coffee Roasters,Mexico,,"Caturra, Bourbon, Mundo Novo, Typica",Unión Ramal Santa Cruz SPR,Medium,"['cocoa', 'hazelnut', 'balanced']",,1450
437,Brazil Fazenda Primavera,Anodyne Coffee Roasters,Brazil,,Yellow Catuaí,Ricardo Tavares,Medium,"['chocolate', 'nutty', 'balanced']",Single Origin,1000
438,El Salvador Santa Ana,Topeca Coffee Roasters,El Salvador,,Bourbon and Pacamara,Emilio Lopez Diaz,Light,"['caramel', 'floral', 'delicate']",,1300 - 1550
439,Sumatra Mandheling,Parisi Artisan Coffee,Sumatra,,,,Medium,"['earthy', 'herbal', 'bold']",,
440,Sumatra Permata Gayo,Higher Grounds Coffee,Sumatra,,"Ateng, Julek, Linie S., Bor Bor",Permata Gayo,Medium-dark,"['earthy', 'herbal', 'full bodied']",Single Origin,1200 - 1650
441,Mosaic Blend,Camber Coffee,Peru,,"Bourbon, Caturra","Fidel Huancas, Eli Espinoza",Medium,"['citrus', 'cherry', 'juicy']",Blend,
442,Brazil Fazenda Sertao,Dillanos Coffee Roasters,Brazil,,"Bourbon, Catuai",Francisco Isidro,Medium-dark,"['caramel', 'tobacco', 'rich']",Single Origin,1100 - 1450
443,Peru Cafe De Mujer Espresso,Barefoot Coffee Roasters,Peru,,"Bourbon, Catimor, Pache, Caturra, Typica",124 women members of APROCCURMA,Medium,"['cherry', 'lime', 'vibrant']",Espresso,1500-1800
444,Congo Kawa Kanzaruru,Portrait Coffee,Congo,,Blue Mountain,Kawa Kanzururu Cooperative,Medium,"['baking spices', 'pineapple', 'complex']",Single Origin,1000 - 2000
445,Portage Seasonal Blend,Ruby Coffee Roasters,"Brazil, Colombia",,"Caturra, Colombia, Catuaí",,Medium-dark,"['chocolate', 'raisin', 'rich']",Blend,1500-1900
446,Tomorrow Seasonal Project,Ruby Coffee Roasters,Peru,,"Caturra, Bourbon, Pache, Catimor",,Medium,"['apple', 'dried cherry', 'balanced']",Blend,1600-1850
447,Ad Astra Signature Blend,PT's Coffee Roasting Co.,"Brazil, Mexico",,,,Very Dark,"['dark chocolate', 'cola', 'bold']",Blend,
448,Late Night,Methodical Coffee,"Brazil, Costa Rica",,"Yellow Catuaí, Mundo Novo, Caturra","CoopeTarrazu, Fazenda Morada Da Prata, Fazenda Sáo Fancisco",Medium,"['dark chocolate', 'roasted nuts', 'rich']",Blend,750-1900
449,Organic Swiss Water Decaf Honduras,Dawson Taylor Coffee Roasters,Honduras,,"Caturra, Catuaí",,Medium,"['milk chocolate', 'maple syrup', 'balanced']",,1500 - 1750
450,Skylar's Blend,Dillanos Coffee Roasters,"Costa Rica, Tanzania and Papua New Guinea",,,various small holder producers,Medium,"['caramel', 'chocolate', 'rich']",,
451,Dark Sumatra Highlands Fair Trade Organic,Colectivo Coffee,Sumatra,,"Caturra, Typica, Catimor, Tim Tim, BorBor, Bergendal, Jember",Ketiara Coop,Very Dark,"['smoky', 'earthy', 'full bodied']",Single Origin,1200 - 1500
452,Nor'wester,Caffe Vita Coffee Roasting Co,"Ethiopia, Colombia, Indonesia",,"Castillo, Typica",,Medium-light,"['cherry', 'maple', 'complex']",Blend,1500 - 2000
453,Organic Sumatra Gayo River,Caffe Vita Coffee Roasting Co,Sumatra,,"Typica, TimTim, Ateng",various small holder producers,Medium-dark,"['earthy', 'herbal', 'full bodied']",Single Origin,1300 - 1600
454,Breakfast Blend,Tony's Coffee,Central and South America,,,,Medium,"['toffee', 'cherry', 'vibrant']",Blend,
455,Mexico Chiapas,Tony's Coffee,Mexico,,various,FEDESI,Medium,"['cocoa', 'roasted almond', 'creamy']",Single Origin,1000 - 1900
456,Sumatra Mutu Batak,Klatch Coffee Roasting,Sumatra,,"Ateng, Jember, and Garundang",Lintongnihuta (shores of Lake Taoba),Medium,"['cacao', 'cedar', 'earthy']",Single Origin,1000-1300
457,Colombia Marco Fidel Lopez,Tony's Coffee,Colombia,,"Castillo, Caturra",Marco Fidel Lopez,Medium-light,"['melon', 'vanilla', 'lively']",Single Origin,1990
458,Summer Annuals ,Ceremony Coffee Roasters,"Ethiopia, Mexico",,"Typica, Bourbon, Caturra, Mundo Novo, Ethiopian Landraces",Various smallholder farmers,Medium-light,"['nectarine', 'lime', 'vibrant']",Blend,1900
459,Starr Hill Stout Blend,Red Rooster Coffee,"Indonesia, Africa, the Americas",,,,Medium-dark,"['dark chocolate', 'caramel', 'complex']",Blend,
460,L'Alba,Parisi Coffee Roasters,South America,,,,Medium,"['chocolate', 'hazelnut', 'rich']",Blend,
461,Decaf EA Mexico,Ceremony Coffee Roasters,Mexico,,"Typica, Caturra, Mundo Novo",,Medium,"['chocolate', 'cherry', 'rich']",,1700
462,Colombia La Pelota,Goshen Coffee Company,Colombia,,"Caturra, Typica",smallholder farmers,Medium-light,"['stone fruit', 'citrus', 'lively']",Single Origin,1600 - 1900
463,Colombia Valle del Cauca Decaf,Portrait Coffee,Colombia,,"Caturra, Castillo",various,Medium,"['caramel', 'dried cherry', 'balanced']",,1750
464,Cold Brew Blend,Mela Coffee Roasting Company,,,"Bourbon, Yellow Caturra, Acaiá",,Medium,"['cocoa', 'baking spices', 'full bodied']",Single Origin,1000 - 1200
465,Night Owl Half-Caff Blend,Red Rooster Coffee,"Colombia, Peru",,"Catuaí, Colombia, Castillo, Caturra","AGPROCEM, Sol Y Cafe",Medium-dark,"['chocolate', 'earthy', 'balanced']",,900 - 2000
466,Mexico Monte Albán,Anodyne Coffee Roasters,Mexico,,"Bourbon, Typica",various smallholder farmers,Medium,"['almond', 'lemon', 'balanced']",Single Origin,1700 - 1900
467,Guatemala Hunapu,Kuma Coffee,Guatemala,,Red Bourbon,smallholder farmers,Medium-light,"['orange', 'fruit punch', 'vibrant']",Single Origin,1500-1800
468,Organic Brazil Matas De Minas Klem,Centri Coffee,Brazil,,Catuaí,Klem Estate,Medium,"['chocolate', 'cola', 'balanced']",Single Origin,900-1250
469,Ethiopia Guji Natural,Barefoot Coffee Roasters,Ethiopia,,Indigenous Heirloom,,Light,"['strawberry', 'tangerine', 'juicy']",Single Origin,1800-2200
470,Honduran Comsa Decaf,Higher Grounds Coffee,Honduras,,"Lempira, Catuaí, Catimor",COMSA Cooperative,Medium,"['caramel', 'chocolate', 'balanced']",,1200-1800
471,Colombia Elkin Guzman Caturra Honey,Brandywine Coffee Roasters,Colombia,,Caturra,Elkin Guzman,Light,"['cherry', 'almond', 'vibrant']",Single Origin,1615
472,Decaf Organic Espresso Cuatro ,Zoka Coffee Roasting Co,South America,,,,Medium-dark,"['caramel', 'nutty', 'full bodied']",,
473,Gran's Blend Half-Decaf,Higher Grounds Coffee,"Honduras, Peru",,"Typica, Bourbon, Catimor, Lempira",COSMA and Norandino Cooperatives,Medium,"['toffee', 'nutty', 'balanced']",,1300-1800
474,River Days Seasonal Espresso,Ritual Coffee Roasters,"Colombia, Honduras, Guatemala",,"Typica, Bourbon, Pacas, Castillo","The Montano Family, Sebastian and Mauricio Benitez, Maria Zelaya, Antigua",Medium,"['brown sugar', 'clementine', 'vibrant']",Espresso,
475,El Salvador Metapan,Verve Coffee Roasters,El Salvador,,Various,67 smallholder farmers,Medium-light,"['green apple', 'cocoa', 'balanced']",Single Origin,1550-1800
476,Colombia Maria Cristina Cordoba,Verve Coffee Roasters,Colombia,,Colombia,Maria Cristina Cordoba,Medium,"['milk chocolate', 'red apple', 'balanced']",Single Origin,1950-2050
477,Ethiopia Chelchele Natural,Verve Coffee Roasters,Ethiopia,,Ethiopian heirloom,smallholder producers,Light,"['raspberry', 'sweet cream', 'juicy']",Single Origin,2000-2400
478,French Roast,Mela Coffee Roasting Company,Honduras,,"Pacas, Caturra, Bourbon, Catuaí",COCAFCAL Cooperative,Very Dark,"['dark chocolate', 'caramel', 'rich']",Single Origin,1450 - 1700
479,Colombia Rafael Rivas,Camber Coffee,Colombia,,"Castillo, Colombia",Rafael Rivas,Light,"['plum', 'cherry', 'vibrant']",Single Origin,1680
480,Ethiopia Teshome Gemechu,Camber Coffee,Ethiopia,,Wolisho & Dega,Teshome Gemechu,Light,"['lemon', 'melon', 'lively']",Single Origin,1900 - 2200
481,Peru Velo de Novia Washed,PT's Coffee Roasting Co.,Peru,,"Bourbon, Caturra",Cooperativa Agraria Norcafe Peru,Medium-light,"['nectarine', 'black tea', 'lively']",Single Origin,1800
482,Colombia El Porvenir Tabi Washed,PT's Coffee Roasting Co.,Colombia,,Tabi,Didier Anacona,Medium-light,"['apple', 'macadamia', 'vibrant']",Single Origin,1825
483,Ethiopia Laayyoo Natural,Ceremony Coffee Roasters,Ethiopia,,74110 + 74112,Teraga village farmers,Light,"['rose', 'blueberry', 'juicy']",Single Origin,2100 - 2350
484,Brazil Danilo Vital,Portrait Coffee,Brazil,,Yellow Catuaí,Danilo Vital,Medium-light,"['caramel', 'fig', 'syrupy']",Single Origin,1230
485,Guatemala Los Santos,Temple Coffee,Guatemala,,"Bourbon, Caturra, Catuaí, Typica",Smallholder,Medium-light,"['lemon', 'cherry', 'vibrant']",Single Origin,1500-1900
